,region_code,okato,id,year,e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
region_code,1.0,-0.025127316361955847,0.027873235809120725,-0.013341034173870338,0.1987789849221733,0.021867693397556943,0.1598117580727596,0.04277188955968321,-0.04362838162613217,0.06594281989029496,0.00015447153162722414,0.19674924024958867,0.11280295541433438,0.1113720444802632,0.03511278458097719,0.18117279076195272,0.18357803709034562,0.06849221431643594,-0.08885564234969254,0.0886186785575935,0.16189861614761536,0.059297869110920644
okato,-0.025127316361955847,1.0,0.02685170969465753,0.007401906200080629,-0.023852580866064427,0.005306677622855356,-0.03382640782722388,-0.0034175219918093974,-0.001303073967563014,-0.039425376270523296,-0.014403947848425412,-0.01619665687553627,0.015725481624704548,0.01562316179862179,-0.008724999465164158,0.005343278924579281,-0.018035452820555496,-0.009379231892640885,-0.01714673339096499,-0.005336759895020996,-0.0012639679732165449,-0.0037971497964769106
id,0.027873235809120725,0.02685170969465753,1.0,0.0029712388026058153,-0.16690431401662512,0.07082592382737463,-0.1296060758957996,0.038132504367397915,-0.005584054391173112,-0.017885941562693006,-0.023409442453675194,-0.26841817356316017,-0.066853551978546,-0.07955484700877725,-0.14523205592050614,-0.07030386258489248,-0.12176629576009602,-0.1966870824773407,-0.09016962877297652,-0.19834441078706389,-0.11145963572302738,-0.2251735291723514
year,-0.013341034173870338,0.007401906200080629,0.0029712388026058153,1.0,0.0450791854244251,0.025973503325362805,0.16331884295524737,0.015391009291373036,0.7952681805778887,-0.44301890686774137,0.0704304160635489,0.061702327774588485,0.13898836836071243,0.13006671347858126,0.25330458981373055,0.03049540060211167,0.04047868902852811,0.021550004703148447,0.11762533388781458,-0.021540959193733732,0.10677293106472113,0.017723709011655844
e1,0.1987789849221733,-0.023852580866064427,-0.16690431401662512,0.0450791854244251,1.0,-0.10617853758173765,0.17370544384546532,-0.1461059921379817,-0.005249900780001827,0.11546040136174542,0.23233623581072999,0.7894457916507894,0.19829455054759884,0.20353261626221564,0.11754240931743686,0.1753350994379708,0.19029627415509628,0.13307799707187398,-0.2035540670904943,0.19372066563185683,0.13367917525213527,0.14630973490729404
e2,0.021867693397556943,0.005306677622855356,0.07082592382737463,0.025973503325362805,-0.10617853758173765,1.0,-0.01998024541996175,0.594733488313721,0.08414762617641845,0.015180966593333664,-0.00018278356760194486,-0.08297607245814737,0.01661598023550017,0.016970805358522693,0.007725760299639576,0.21950481694849822,0.05565392077760317,0.006789327280631325,0.015177554394968056,-0.016780167206987547,0.185943177761377,-0.01916549000876105
e3,0.1598117580727596,-0.03382640782722388,-0.1296060758957996,0.16331884295524737,0.17370544384546532,-0.01998024541996175,1.0,-0.023703974314866517,0.13015241542620448,-0.033645296259353696,0.11803536993648044,0.1722962247458012,0.1629974447139101,0.16471397329278292,0.12008285751914395,0.09265462149453378,0.1160736828316436,0.08962268675254628,-0.010352158266121726,0.11261498321908434,0.11996825448171664,0.09334475622825253
e4,0.04277188955968321,-0.0034175219918093974,0.038132504367397915,0.015391009291373036,-0.1461059921379817,0.594733488313721,-0.023703974314866517,1.0,0.04439754513524419,-0.06924466463779799,0.0029518507954292205,-0.11188668552199092,0.009083941418121211,0.008774230178575752,-0.0012938496173871877,0.1264103785829289,0.27951177632475543,-0.005712115179070219,0.03214410064020578,-0.023151309583472966,0.11033735851954833,-0.025709266690384987
e5,-0.04362838162613217,-0.001303073967563014,-0.005584054391173112,0.7952681805778887,-0.005249900780001827,0.08414762617641845,0.13015241542620448,0.04439754513524419,1.0,-0.4377069736497615,0.010210951268844456,0.04793262042337634,0.1794555213733283,0.18574593916612114,0.28607843264020166,0.11665339671824383,0.10418972026543152,0.0946504021423228,0.18280766043063837,0.046712069875411245,0.18781790890872802,0.10277757290523595
e6,0.06594281989029496,-0.039425376270523296,-0.017885941562693006,-0.44301890686774137,0.11546040136174542,0.015180966593333664,-0.033645296259353696,-0.06924466463779799,-0.4377069736497615,1.0,0.014240808100698873,0.09933617999389617,-0.028897361543843245,-0.031151147514933544,-0.11337927348122218,0.016106907297557826,-0.01909759356563693,-0.0029009926979800304,-0.05873518131190124,0.03395337930213029,-0.004536341223573927,0.021654411510254986
