,min,max,mean,median,std,skew,kurtosis
region_code,1.0,92.0,50.909516380655226,55.0,24.158042258730422,-0.4181371224232367,-1.1343938156067586
okato,1000000000.0,99000000000.0,47576638065.52262,45000000000.0,25393029868.591675,0.10570729688206233,-0.7050698755833458
id,1.0,120111.0,12035.379095163806,1566.0,33083.1843564094,2.6345158882605575,4.9546192991004085
year,2013.0,2017.0,2014.9551482059283,2015.0,1.420523174064311,0.0448346191054238,-1.3125834703097996
e1,0.0,100.0,63.55144305772231,63.629999999999995,11.75990086280654,-2.279484747918938,12.073043101637019
e2,0.0,735892.54,578.8729251170048,124.235,14677.259616134277,49.19799911034624,2461.1692209380008
e3,0.0,100.0,5.6415015600624026,3.92,5.901522810779148,3.3482319141117434,30.11464560951187
e4,0.0,1305943.43,3328.394005460218,2009.8249999999998,32235.56663217851,36.6900853275611,1371.9290661205578
e5,0.0,390.65,126.75427457098284,145.37,63.29852252881686,-0.7479987372406336,-0.40202839320959916
e6,0.0,100.0,75.05914577492992,80.0,23.472296578661787,-1.9036903934200562,3.885613720181819
e8,0.0,100.0,20.574863494539784,5.08,26.964336336038485,1.2076498169692795,-0.3203229031548638
ege_budg,0.0,100.0,64.69864664586584,65.62,15.597322351456867,-2.1500707074030014,7.780318824441896
wos,0.0,3592.2942,65.12517141185647,9.7689,226.98842136255067,8.023072265558598,81.49574857533575
scopus,0.0,3993.9515,86.47096782371295,17.9208,270.99980538544366,7.516663990608984,72.17750217826794
rsci,0.0,15278.085199999998,835.4366186037441,438.17410000000007,1240.1267712456636,4.143033835727663,27.064558512908544
rnd,0.0,6651330.8,166153.3814352574,38678.7,466286.53432426794,7.124234058880378,69.43483008390139
total_income,4905.648,32584600.0,1296238.4441953977,709671.6,2098638.58129204,5.807430160705631,51.413264221231394
square,448.0,988580.0,70193.90873634945,52809.5,74677.74076593554,5.0196033694759095,46.44871971339768
phd_share,0.0,100.0,68.31596723868955,72.46,16.590214242835888,-1.4354024779409904,1.9492834677154658
pps,0.0,5128.0,447.67628705148206,338.0,469.70476167084695,3.8545264865743825,25.769457984465213
rnd_private,0.0,2221577.68,69727.13849843993,16328.259999999998,175605.79492494458,5.722997279097975,45.452275187831084
pk,7.300000000000001,33241.7,4479.1114664586585,3442.775,4241.805359793833,2.0947668379841833,6.23895012666173
